date,DriversKilled,drivers,FrontSeat,RearSeat,kms,PetrolPrice,VanKilled,law
Jul-77,123,1528,888,479,17361,0.099836643,6,0
Aug-77,103,1643,852,473,17694,0.09263669,8,0
Sep-77,97,1515,774,332,16222,0.091814963,6,0
Oct-77,140,1685,831,391,14969,0.090724304,12,0
Nov-77,165,2000,889,370,13624,0.090021207,15,0
Dec-77,183,2215,1046,431,13842,0.089330706,7,0
Jan-78,148,1956,889,366,12387,0.088442735,14,0
Feb-78,111,1462,626,250,11608,0.088352569,4,0
Mar-78,116,1563,808,355,15021,0.086757362,10,0
Apr-78,115,1459,746,304,14834,0.084995242,8,0
May-78,100,1446,754,379,16565,0.084567944,7,0
Jun-78,106,1622,865,440,16882,0.084431899,11,0
Jul-78,134,1657,980,500,18012,0.084350883,3,0
Aug-78,125,1638,959,511,18855,0.083600983,5,0
Sep-78,117,1643,856,384,17243,0.083417263,11,0
Oct-78,122,1683,798,366,16045,0.08274514,10,0
Nov-78,153,2050,942,432,14745,0.085235267,10,0
Dec-78,178,2262,1010,390,13726,0.084770303,7,0
Jan-79,114,1813,796,306,11196,0.084458921,10,0
Feb-79,94,1445,643,232,12105,0.085352119,11,0
Mar-79,128,1762,794,342,14723,0.087559213,9,0
Apr-79,119,1461,750,329,15582,0.090382917,7,0
May-79,111,1556,809,394,16863,0.090783294,8,0
Jun-79,110,1431,716,355,16758,0.10874278,13,0
Jul-79,114,1427,851,385,17434,0.114142227,8,0
Aug-79,118,1554,931,463,18359,0.112992933,5,0
Sep-79,115,1645,834,453,17189,0.111320706,8,0
Oct-79,132,1653,762,373,16909,0.109126229,7,0
Nov-79,153,2016,880,401,15380,0.107698459,12,0
Dec-79,171,2207,1077,466,15161,0.107601574,10,0
Jan-80,115,1665,748,306,14027,0.103775019,7,0
Feb-80,95,1361,593,263,14478,0.10711417,4,0
Mar-80,92,1506,720,323,16155,0.107374774,10,0
Apr-80,100,1360,646,310,16585,0.111695373,4,0
May-80,95,1453,765,424,18117,0.110638185,8,0
Jun-80,114,1522,820,403,17552,0.111855211,8,0
Jul-80,102,1460,807,406,18299,0.109742343,7,0
Aug-80,104,1552,885,466,19361,0.108193932,10,0
Sep-80,132,1548,803,381,17924,0.106255363,8,0
Oct-80,136,1827,860,369,17872,0.104193034,14,0
Nov-80,117,1737,825,378,16058,0.101933973,8,0
Dec-80,137,1941,911,392,15746,0.102793825,9,0
Jan-81,111,1474,704,284,15226,0.104760341,8,0
Feb-81,106,1458,691,316,14932,0.104002536,6,0
Mar-81,98,1542,688,321,16846,0.116655515,7,0
Apr-81,84,1404,714,358,16854,0.115161476,6,0
May-81,94,1522,814,378,18146,0.112989543,5,0
Jun-81,105,1385,736,382,17559,0.113860644,4,0
Jul-81,123,1641,876,433,18655,0.119118081,5,0
Aug-81,109,1510,829,506,19453,0.124489986,10,0
Sep-81,130,1681,818,428,17923,0.123222945,7,0
Oct-81,153,1938,942,479,17915,0.120677932,10,0
Nov-81,134,1868,782,370,16496,0.121048983,12,0
Dec-81,99,1726,823,349,13544,0.116968571,7,0
Jan-82,115,1456,595,238,13601,0.112750259,4,0
Feb-82,104,1445,673,285,15667,0.108079307,5,0
Mar-82,131,1456,660,324,17358,0.108838516,6,0
Apr-82,108,1365,676,346,18112,0.111291766,4,0
May-82,103,1487,755,410,18581,0.111304009,4,0
Jun-82,115,1558,815,411,18759,0.115454358,8,0
Jul-82,122,1488,867,496,20668,0.114768296,8,0
Aug-82,122,1684,933,534,21040,0.117207431,3,0
Sep-82,125,1594,798,396,18993,0.119076397,7,0
Oct-82,137,1850,950,470,18668,0.117965862,12,0
Nov-82,138,1998,825,385,16768,0.117449127,2,0
Dec-82,152,2079,911,411,16551,0.116988458,7,0
Jan-83,120,1494,619,281,16231,0.112610536,8,0
Feb-83,95,1057,426,300,15511,0.113657016,3,1
Mar-83,100,1218,475,318,18308,0.113144445,2,1
Apr-83,89,1168,556,391,17793,0.118495535,6,1
May-83,82,1236,559,398,19205,0.117969401,3,1
Jun-83,89,1076,483,337,19162,0.117686614,7,1
Jul-83,60,1174,587,477,20997,0.120059239,6,1
Aug-83,84,1139,615,422,20705,0.119437746,8,1
Sep-83,113,1427,618,495,18759,0.118881272,8,1
Oct-83,126,1487,662,471,19240,0.118462361,4,1
Nov-83,122,1483,519,368,17504,0.118016598,3,1
Dec-83,118,1513,585,345,16591,0.117706623,5,1
Jan-84,92,1357,483,296,16224,0.11777609,5,1
Feb-84,86,1165,434,319,16670,0.114796992,3,1
Mar-84,81,1282,513,349,18539,0.115735253,4,1
Apr-84,84,1110,548,375,19759,0.115356263,3,1
May-84,87,1297,586,441,19584,0.114815361,6,1
Jun-84,90,1185,522,465,19976,0.114777478,6,1
Jul-84,79,1222,601,472,21486,0.11493598,7,1
Aug-84,96,1284,644,521,21626,0.114796992,5,1
Sep-84,122,1444,643,429,20195,0.114093157,7,1
Oct-84,120,1575,641,408,19928,0.116465522,7,1
Nov-84,137,1737,711,490,18564,0.116026113,4,1
Dec-84,154,1763,721,491,18149,0.116066729,7,1
